id,title,addres,district,lat,lon,geocode_status,geocode_source,geocode_confidence,price,area,rooms,floor,total_floors,source_url,image_url,description,deal_type,building_type,metro_station,metro_time_minutes,created_at
0,"1-комн. квартира, 38 м²","Москва, СВАО, Долгопрудная аллея, 14к4",Северный,55.942344,37.527231,geocoded,nominatim,0.55,12 700 000 ₽,38 м²,1,5,14,https://www.cian.ru/sale/flat/328104218/?context=3.c9VsLSXZe04.61a9K91RB5lYqFstJM6iFqYd-R1KVC546glenGyFYVsUEpE0UlqgbXn7nr18NsO_2vs71zLYfnQTXw&mlSearchSessionGuid=f2e261b96c417bb836bb72a023aa85c4,https://images.cdn-cian.ru/images/2835935532-1.jpg,Светлая квартира с ремонтом. Рядом метро Физтех.,Продажа,Монолитный,Физтех,7,2026-04-02
1,"2-комн. квартира, 55 м²","Москва, ЗАО, ул. Лобачевского, 112",Очаково-Матвеевское,55.689959,37.472977,geocoded,nominatim,0.55,21 500 000 ₽,55 м²,2,8,17,https://www.cian.ru/sale/flat/326992294/?context=3.uiNjYszw1w8.Ar4QLzgdXuTaDqXika3RXsDGrh7VZGpNgBehF5HGgbI0bUqzA7c72Dczq9pK8Fe4aRE9OUOvaL9Jvw&mlSearchSessionGuid=7807db0d2cd0684bf803074908ef906b,https://images.cdn-cian.ru/images/2808395418-1.jpg,"Просторная двушка, изолированные комнаты. Вид на парк.",Продажа,Кирпичный,Проспект Вернадского,10,2026-04-02
2,"3-комн. квартира, 82 м²","Москва, ЦАО, ул. Покровка, 24",Басманный,55.759613,37.648573,geocoded,nominatim,0.55,45 000 000 ₽,82 м²,3,3,5,https://www.cian.ru/sale/flat/323611152/?context=3.19Jx4w-bWZ8.EGkEbaylhvPotDXoWal3R0cDKgJ55Sh0F7cHqQeVKVDvYPXr10Ox_kjOype7YhfnQ4i7uBWIZwlGzA&mlSearchSessionGuid=e5d3baed04e94ef1e33266d089d8562e,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-pokrovka-2838695500-1.jpg,"Сталинский дом, высокие потолки. Исторический центр.",Продажа,Кирпичный,Китай-город,5,2026-04-01
3,"4-комн. квартира, 110 м²","Москва, СЗАО, Хорошевское ш., 12к1",Хорошевский,55.774922,37.550929,geocoded,nominatim,0.55,65 000 000 ₽,110 м²,4,15,22,https://www.cian.ru/sale/flat/325131165/?context=3.TBtyVuQo-8Q.nXF-umFfIAQqSk9eZ6kYmZ4CSwHD58w9BCtZuvijhXvUzp99T90VS7xiP9x1ZywljBMn7bETOaOIZA&mlSearchSessionGuid=3f05c293f946441fb7d83290221ec685,https://images.cdn-cian.ru/images/kvartira-moskva-horoshevskoe-shosse-2740349174-1.jpg,"Премиум ЖК, панорамное остекление. 2 санузла.",Продажа,Монолитный,ЦСКА,8,2026-04-02
4,"1-комн. квартира, 33 м²","Москва, ЮВАО, ул. Маршала Чуйкова, 18",Кузьминки,55.700147,37.761956,geocoded,nominatim,0.55,9 800 000 ₽,33 м²,1,4,9,https://www.cian.ru/sale/flat/327712739/?context=3.Xh9hsBExwrE.WuQF5nAMIhkXGt35OCgHntKHZh7w9XzE0QtpcS6hG5VQ3XJSJHrfKl7mXCudjCUQ2XTTnptE2rhNqA&mlSearchSessionGuid=27f9655128acdcb3a542583e419dc890,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-marshala-chuykova-2826912514-1.jpg,"Типовая планировка, чистый подъезд. Рядом парк.",Продажа,Панельный,Кузьминки,5,2026-04-02
5,"2-комн. квартира, 48 м²","Москва, ВАО, Измайловский б-р, 56",Измайлово,55.796404,37.810886,geocoded,nominatim,0.55,14 200 000 ₽,48 м²,2,2,5,https://www.cian.ru/sale/flat/328311845/?context=3.cPeHQh4jMiY.FyhYBbvi5_8MFa-uhpqFeKA03Jzqz-2sdsuP542-rAVE8vJ8-i2QzvEp49QWk-iVSNyx1dTTqwc1hw&mlSearchSessionGuid=d3efefb780cba384abf739315db9ea90,https://images.cdn-cian.ru/images/2842211153-1.jpg,"Распашонка, тихий двор. Требует косметики.",Продажа,Кирпичный,Партизанская,7,2026-04-01
6,"Студия, 28 м²","Москва, ТиНАО, г. Московский, Радужная ул., 6",Московский,55.592818,37.368345,geocoded,nominatim,0.55,7 500 000 ₽,28 м²,1,10,25,https://www.cian.ru/sale/flat/326481056/?context=3.a063MnVdbOU.rFN9VcB4q6DNXx_kZIyA9PbTor2EeT_wpHmpk5Z8Vgg1JeKO-ulThc9yKMSGyBP1Hth1EeWRRZvNpA&mlSearchSessionGuid=e3c4ed16959b2ddbfa899a5bcd9e1363,https://images.cdn-cian.ru/images/2800263069-1.jpg,"Европланировка, кухня-ниша. Новый район.",Продажа,Монолитный,Саларьево,15,2026-04-02
7,"3-комн. квартира, 75 м²","Москва, ЮЗАО, Ленинский пр-т, 111",Коньково,55.661604,37.509378,geocoded,nominatim,0.55,24 000 000 ₽,75 м²,3,6,12,https://www.cian.ru/sale/flat/327030637/?context=3.zmgLb9_H3N0.8IoZjQWfmxo0tSV5UBv4cmyqGtxlZ3jHBWmokUG887pKfM-tfybRlSEBw2wMuVQhqykaZXrtrO5_pQ&mlSearchSessionGuid=1967b2bb3dda72a8965c11f41f046af6,https://images.cdn-cian.ru/images/2809441549-1.jpg,"Изолированные комнаты, большая кухня.",Продажа,Панельный,Беляево,10,2026-04-01
8,"1-комн. квартира, 42 м²","Москва, САО, Ленинградский пр-т, 35",Аэропорт,55.790316,37.553399,geocoded,nominatim,0.55,19 500 000 ₽,42 м²,1,10,16,https://www.cian.ru/sale/flat/328020980/?context=3.F9YChfTjg5Q.8Ms2mCUxZZZUVPQcDA6eSTTvmQ4tgGQrVFvUcis9Npyz1TBSNqYhb3cpLGDvajIssP8Roy0D4S-Dww&mlSearchSessionGuid=eb37420cedb80dc16cb91aa861b4b859,https://images.cdn-cian.ru/images/kvartira-moskva-leningradskiy-prospekt-2833881555-1.jpg,"ЖК бизнес-класса, консьерж, охрана.",Продажа,Монолитный,Динамо,12,2026-04-02
9,"2-комн. квартира, 60 м²","Москва, ЮАО, Варшавское ш., 141",Чертаново Центральное,55.588827,37.604246,geocoded,nominatim,0.55,16 500 000 ₽,60 м²,2,9,14,https://www.cian.ru/sale/flat/326603390/?context=3.5gnz8FDhrpM.XavTqA1nX8Fz4zSl_HkpPm0d0Q5xSZapLuLyTSmrvFjVmdf786wcccAR3e34cH_eDn1IVbv1DoIvRQ&mlSearchSessionGuid=d96e3644e9c3678818006ab0b7fb20fb,https://images.cdn-cian.ru/images/2797238988-1.jpg,"Современный ремонт, встроенная техника.",Продажа,Монолитный,Чертановская,8,2026-04-02
